circuit,qubits,backend,time_ms,peak_mem_bytes,check
qft,8,aer-statevector,3.17,4096,1.000000
ghz,8,aer-statevector,0.82,4096,0.500000
qaoa4,8,aer-statevector,4.46,4096,0.598652
random,8,aer-statevector,2.32,4096,-0.065118
pairs,8,aer-statevector,0.75,4096,1.000000
qft,12,aer-statevector,4.39,65536,1.000000
ghz,12,aer-statevector,1.02,65536,0.500000
qaoa4,12,aer-statevector,5.80,65536,0.598652
random,12,aer-statevector,5.07,65536,0.002685
pairs,12,aer-statevector,0.90,65536,1.000000
qft,16,aer-statevector,15.05,1048576,1.000000
ghz,16,aer-statevector,2.11,1048576,0.500000
qaoa4,16,aer-statevector,13.67,1048576,0.598652
random,16,aer-statevector,9.31,1048576,0.017726
pairs,16,aer-statevector,2.77,1048576,1.000000
qft,20,aer-statevector,159.28,16777216,1.000000
ghz,20,aer-statevector,19.45,16777216,0.500000
qaoa4,20,aer-statevector,87.58,16777216,0.598652
random,20,aer-statevector,92.69,16777216,0.000949
pairs,20,aer-statevector,21.93,16777216,1.000000
qft,24,aer-statevector,4145.56,268435456,1.000000
ghz,24,aer-statevector,558.71,268435456,0.500000
qaoa4,24,aer-statevector,2845.64,268435456,0.598652
random,24,aer-statevector,3434.28,268435456,-0.000125
pairs,24,aer-statevector,418.95,268435456,1.000000
qft,28,aer-statevector,83297.27,4294967296,1.000000
ghz,28,aer-statevector,11248.17,4294967296,0.500000
qaoa4,28,aer-statevector,56050.12,4294967296,0.598652
random,28,aer-statevector,51647.03,4294967296,0.000022
pairs,28,aer-statevector,7760.06,4294967296,1.000000
